SBN nue 3sigma, Plot grab from WebPlotDigitoger: http://arohatgi.info/WebPlotDigitizer/app/
0.0011181, 96.247
0.0011030, 90.592
0.0011032, 85.266
0.0011185, 80.249
0.0011340, 75.527
0.0011342, 70.018
0.0011037, 66.913
0.0010740, 63.946
0.0010310, 60.194
0.00098973, 56.663
0.00096316, 53.336
0.00095020, 50.202
0.00095032, 47.251
0.00095043, 44.473
0.00095054, 41.858
0.00097697, 39.995
0.0010041, 38.797
0.0010320, 37.070
0.0010753, 35.959
0.0011358, 34.355
0.0011997, 33.324
0.0012499, 32.325
0.0013023, 31.356
0.0013569, 29.959
0.0013571, 28.198
0.0013206, 27.359
0.0012851, 26.545
0.0012335, 25.756
0.0011680, 24.992
0.0010909, 23.887
0.0010329, 23.532
0.00099148, 23.181
0.00095168, 22.836
0.00090111, 22.158
0.00085323, 21.501
0.00080787, 21.181
0.00076494, 20.553
0.00072432, 19.643
0.00067654, 18.775
0.00064061, 17.944
0.00062338, 17.410
0.00060661, 16.892
0.00058227, 16.390
0.00055892, 15.903
0.00054390, 15.198
0.00052928, 14.524
0.00052216, 13.671
0.00052221, 13.063
0.00052944, 12.482
0.00053678, 11.927
0.00055170, 11.396
0.00056704, 10.889
0.00059082, 10.404
0.00060724, 9.9407
0.00062414, 9.3554
0.00064151, 8.8045
0.00066844, 8.2858
0.00068702, 7.9169
0.00070610, 7.6800
0.00072571, 7.4501
0.00074586, 7.2271
0.00076657, 7.0108
0.00078786, 6.8010
0.00080974, 6.5974
0.00083222, 6.4000
0.00086710, 6.2081
0.00089118, 6.0223
0.00091595, 5.7542
0.00092864, 5.4983
0.00092875, 5.1751
0.00092883, 4.9451
0.00091631, 4.7256
0.00090395, 4.5159
0.00087964, 4.3815
0.00085597, 4.2511
0.00083294, 4.1246
0.00079954, 4.0021
0.00076747, 3.8832
0.00073666, 3.8253
0.00071684, 3.7115
0.00069756, 3.6010
0.00066958, 3.4941
0.00065157, 3.3901
0.00063404, 3.2892
0.00061696, 3.2401
0.00060037, 3.1436
0.00057629, 3.0502
0.00056078, 2.9595
0.00054570, 2.8714
0.00053103, 2.7441
0.00050975, 2.6225
0.00049605, 2.5062
0.00048272, 2.3951
0.00047621, 2.2888
0.00046979, 2.1872
0.00046985, 2.0586
0.00046989, 1.9671
