SBN nue 3sigma, Plot grab from WebPlotDigitoger: http://arohatgi.info/WebPlotDigitizer/app/
0.00046993, 1.8797
0.00047645, 1.7691
0.00048305, 1.6905
0.00048974, 1.6153
0.00050336, 1.5434
0.00051735, 1.4747
0.00053172, 1.4305
0.00054650, 1.3669
0.00056167, 1.3260
0.00057729, 1.2669
0.00059334, 1.2105
0.00061822, 1.1566
0.00063539, 1.1220
0.00065303, 1.0884
0.00067117, 1.0558
0.00068981, 1.0242
0.00071872, 0.99352
0.00073867, 0.96378
0.00076963, 0.93489
0.00080189, 0.90687
0.00083549, 0.87969
0.00087051, 0.85332
0.00090699, 0.82774
0.00094501, 0.80293
0.00098461, 0.77887
0.0010259, 0.75552
0.0010689, 0.73287
0.0011290, 0.71088
0.0011763, 0.68957
0.0012256, 0.66890
0.0012770, 0.64885
0.0013488, 0.62937
0.0014247, 0.61048
0.0015048, 0.59216
0.0015679, 0.57441
0.0016560, 0.55716
0.0017492, 0.54044
0.0018225, 0.52424
0.0019250, 0.50850
0.0020057, 0.49326
0.0020897, 0.47848
0.0021773, 0.46414
0.0022998, 0.45020
0.0024291, 0.43669
0.0026011, 0.42356
0.0027474, 0.41085
0.0029019, 0.39852
0.0030651, 0.38655
0.0032375, 0.37495
0.0034196, 0.36369
0.0036120, 0.35278
0.0038151, 0.34219
0.0039749, 0.33700
0.0041415, 0.32690
0.0043149, 0.32194
0.0044958, 0.31229
0.0046842, 0.30293
0.0049477, 0.29384
0.0052258, 0.28937
0.0054448, 0.28069
0.0057510, 0.27227
0.0061581, 0.26408
0.0065940, 0.25614
0.0070607, 0.24844
0.0074578, 0.24099
0.0080958, 0.23022
0.0086688, 0.22330
0.0091564, 0.21659
0.0098044, 0.21008
0.010356, 0.20378
0.010938, 0.19766
0.011554, 0.19173
0.012038, 0.18598
0.012715, 0.18040
0.013430, 0.17498
0.014185, 0.16973
0.015399, 0.16462
0.016488, 0.15967
0.017655, 0.15487
0.018648, 0.15022
0.019968, 0.14571
0.021092, 0.14133
0.022278, 0.13709
0.023531, 0.13298
0.025196, 0.12898
0.026980, 0.12510
0.028497, 0.12135
0.030100, 0.11770
0.032232, 0.11245
0.034989, 0.10742
0.037465, 0.10419
0.040117, 0.10106
0.042956, 0.098024
0.045997, 0.095077
0.049252, 0.092219
0.052740, 0.088102
0.056475, 0.084169
0.060472, 0.081639
0.064752, 0.079185
0.069335, 0.076804
0.074242, 0.074495
0.080593, 0.071166
0.087488, 0.067986
0.092409, 0.065945
0.10031, 0.063960
0.10741, 0.062038
0.11501, 0.060173
0.12316, 0.057486
0.13187, 0.055758
0.13929, 0.054084
0.14713, 0.052461
0.15540, 0.050886
0.16640, 0.049357
0.17576, 0.047875
0.18565, 0.046438
0.19609, 0.045044
0.20997, 0.043690
0.22483, 0.042377
0.23747, 0.041105
0.25083, 0.039871
0.26494, 0.038674
0.27983, 0.038086
0.29557, 0.036942
0.31220, 0.035833
0.33429, 0.034756
0.35309, 0.033713
0.37295, 0.032701
0.39393, 0.031719
0.41609, 0.030767
0.44554, 0.029842
0.47707, 0.028945
0.50391, 0.028076
0.53225, 0.027234
0.56992, 0.026415
0.61026, 0.025621
0.66245, 0.024850
0.70935, 0.023740
0.74925, 0.023028
0.79137, 0.022677
0.82454, 0.021998
0.87091, 0.021337
0.91990, 0.020697
0.95845, 0.020076
