1.0471e-03 1.3148e+00
1.0432e-03 1.3183e+00
1.0471e-03 1.3197e+00
1.0715e-03 1.3201e+00
1.0965e-03 1.3201e+00
1.1220e-03 1.3224e+00
1.1482e-03 1.3244e+00
1.1749e-03 1.3244e+00
1.2023e-03 1.3244e+00
1.2303e-03 1.3276e+00
1.2589e-03 1.3277e+00
1.2882e-03 1.3268e+00
1.3183e-03 1.3271e+00
1.3490e-03 1.3224e+00
1.3804e-03 1.3214e+00
1.4125e-03 1.3209e+00
1.4454e-03 1.3200e+00
1.4641e-03 1.3183e+00
1.4791e-03 1.3094e+00
1.5136e-03 1.3094e+00
1.5256e-03 1.3032e+00
1.5386e-03 1.2882e+00
1.5136e-03 1.2823e+00
1.4791e-03 1.2794e+00
1.4454e-03 1.2752e+00
1.4125e-03 1.2752e+00
1.3804e-03 1.2748e+00
1.3490e-03 1.2746e+00
1.3183e-03 1.2744e+00
1.2882e-03 1.2744e+00
1.2854e-03 1.2735e+00
1.2589e-03 1.2673e+00
1.2303e-03 1.2713e+00
1.2023e-03 1.2713e+00
1.1749e-03 1.2733e+00
1.1738e-03 1.2735e+00
1.1534e-03 1.2882e+00
1.1482e-03 1.2915e+00
1.1220e-03 1.2925e+00
1.1052e-03 1.3032e+00
1.0965e-03 1.3135e+00
1.0715e-03 1.3141e+00
1.0471e-03 1.3148e+00
